,FileName,Split,RemoveJunkBefore,RemoveJunkAfter,Date,User
57,/datc/ortho/Cat1_pat16_meting10_oef4.csv,0,3,124,2018-12-10 10:41:21.359125,Kasper
58,/datc/ortho/Cat1_pat10_meting10_oef4.csv,0,3,151,2018-12-10 10:41:38.345009,Kasper
59,/datc/ortho/Cat1_pat15_meting10_oef4.csv,0,5,132,2018-12-10 10:42:11.382849,Kasper
60,/datc/ortho/Cat1_pat24_meting10_oef4.csv,0,8,139,2018-12-10 10:42:54.265105,Kasper
61,/datc/ortho/Cat1_pat30_meting10_oef4.csv,0,7,120,2018-12-10 10:43:17.993729,Kasper
62,/datc/ortho/Cat1_pat18_meting10_oef4.csv,0,9,97,2018-12-10 10:43:40.808365,Kasper
63,/datc/ortho/Cat1_pat17_meting10_oef4.csv,0,13,145,2018-12-10 10:44:30.860719,Kasper
64,/datc/ortho/Cat1_pat2_meting10_oef4.csv,0,6,123,2018-12-10 10:45:15.854387,Kasper
65,/datc/ortho/Cat1_pat8_meting10_oef4.csv,0,5,141,2018-12-10 10:45:34.636836,Kasper
66,/datc/ortho/Cat1_pat6_meting10_oef4.csv,0,5,138,2018-12-10 10:45:55.001427,Kasper
67,/datc/ortho/Cat1_pat13_meting10_oef4.csv,0,12,95,2018-12-10 10:46:18.249949,Kasper
68,/datc/ortho/Cat1_pat26_meting10_oef4.csv,0,22,115,2018-12-10 10:46:39.578089,Kasper
69,/datc/ortho/Cat1_pat23_meting10_oef4.csv,0,2,111,2018-12-10 10:46:59.098681,Kasper
70,/datc/ortho/Cat1_pat1_meting10_oef4.csv,0,3,84,2018-12-10 10:47:13.213289,Kasper
71,/datc/ortho/Cat1_pat19_meting10_oef4.csv,0,6,119,2018-12-10 10:47:31.909989,Kasper
72,/datc/ortho/Cat1_pat27_meting10_oef4.csv,0,37,128,2018-12-10 10:47:53.143162,Kasper
73,/datc/ortho/Cat1_pat20_meting10_oef4.csv,0,4,87,2018-12-10 10:48:23.511456,Kasper
74,/datc/ortho/Cat1_pat5_meting10_oef4.csv,0,2,146,2018-12-10 10:49:02.828358,Kasper
75,/datc/ortho/Cat1_pat7_meting10_oef4.csv,0,21,157,2018-12-10 10:49:26.921868,Kasper
76,/datc/ortho/Cat1_pat3_meting10_oef4.csv,0,22,107,2018-12-10 10:50:07.464824,Kasper
77,/datc/ortho/Cat1_pat22_meting10_oef4.csv,0,5,130,2018-12-10 10:50:25.460879,Kasper
78,/datc/ortho/Cat1_pat14_meting10_oef4.csv,0,6,86,2018-12-10 10:50:54.711620,Kasper
79,/datc/ortho/Cat1_pat21_meting10_oef4.csv,0,12,94,2018-12-10 10:51:34.746498,Kasper
80,/datc/ortho/Cat1_pat4_meting10_oef4.csv,0,35,185,2018-12-10 10:52:33.588336,Kasper
81,/datc/ortho/Cat1_pat12_meting10_oef4.csv,0,12,112,2018-12-10 10:53:05.924076,Kasper
82,/datc/ortho/Cat1_pat14_meting10_oef5.csv,0,18,145,2018-12-10 10:54:25.169403,Kasper
83,/datc/ortho/Cat1_pat15_meting10_oef5.csv,0,17,137,2018-12-10 10:54:44.440472,Kasper
84,/datc/ortho/Cat1_pat10_meting10_oef5.csv,0,11,121,2018-12-10 10:55:19.315211,Kasper
85,/datc/ortho/Cat1_pat24_meting10_oef5.csv,0,8,140,2018-12-10 10:55:37.719189,Kasper
86,/datc/ortho/Cat1_pat30_meting10_oef5.csv,0,45,225,2018-12-10 10:56:13.191994,Kasper
